,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
9378,B,ab,Project Management,42,low
9379,B,aa,Maintenance,31,low
9380,A,ab,Project Management,47,low
9381,A,ac,Project Management,47,low
9382,B,aa,Project Management,36,low
9383,A,aa,Project Management,48,low
9384,B,ac,Maintenance,38,low
9385,A,ac,Project Management,46,low
9386,B,ab,Project Management,31,low
9387,D,ac,Engineer,17,high
9388,C,ac,Project Management,5,high
9389,B,aa,Project Management,30,low
9390,A,ab,Project Management,37,low
9391,B,ab,Project Management,15,medium
9392,C,ac,Engineer,23,medium
9393,B,ac,Engineer,18,medium
9394,D,ac,Engineer,3,high
9395,A,ac,Maintenance,48,low
9396,C,ab,Engineer,18,medium
9397,D,ad,Project Management,14,high
9398,D,ad,Project Management,21,high
9399,C,ac,Engineer,29,medium
9400,B,ab,Maintenance,40,low
9401,A,ac,Maintenance,31,low
9402,D,ac,Engineer,11,high
9403,A,ac,Maintenance,28,low
9404,C,ad,Engineer,16,high
9405,B,ac,Project Management,30,low
9406,C,ac,Project Management,20,high
9407,C,ad,Project Management,20,medium
9408,B,aa,Project Management,31,low
9409,B,ad,Maintenance,34,medium
9410,A,aa,Project Management,44,low
9411,C,ad,Project Management,29,medium
9412,B,ab,Engineer,17,medium
9413,B,aa,Project Management,43,low
9414,B,ad,Maintenance,24,medium
9415,A,ab,Maintenance,33,low
9416,D,ae,Project Management,13,high
9417,D,ae,Engineer,7,high
9418,D,ac,Engineer,21,high
9419,D,ac,Engineer,19,high
9420,D,ad,Project Management,3,high
9421,B,ac,Maintenance,41,low
9422,B,ac,Maintenance,28,medium
9423,B,ac,Maintenance,37,low
9424,C,ac,Project Management,23,medium
9425,D,ae,Project Management,22,high
9426,C,ad,Engineer,6,high
9427,B,ab,Project Management,42,low
9428,C,ab,Engineer,20,medium
9429,A,aa,Project Management,42,low
9430,C,ac,Engineer,12,high
9431,A,ab,Project Management,29,low
9432,C,ac,Engineer,3,high
9433,B,ad,Maintenance,31,medium
9434,A,aa,Maintenance,28,low
9435,D,ac,Engineer,10,high
9436,A,ab,Project Management,33,low
9437,C,ae,Project Management,8,high
9438,C,ad,Maintenance,33,medium
9439,B,ad,Project Management,34,medium
9440,C,ae,Engineer,5,high
9441,A,ac,Maintenance,34,low
9442,D,ae,Project Management,7,high
9443,B,aa,Maintenance,37,low
9444,C,ab,Project Management,29,medium
9445,D,ac,Project Management,19,high
9446,D,ad,Project Management,20,high
9447,A,ac,Maintenance,28,low
9448,C,ac,Project Management,32,medium
9449,B,ad,Maintenance,25,medium
9450,C,ad,Project Management,15,medium
9451,D,ad,Project Management,4,high
9452,C,ad,Project Management,21,high
9453,C,ad,Engineer,12,high
9454,D,ad,Engineer,6,high
9455,D,ae,Engineer,10,high
9456,C,ad,Engineer,24,medium
9457,A,ac,Project Management,43,low
9458,C,ad,Project Management,15,high
9459,A,aa,Project Management,48,low
9460,C,ac,Project Management,30,medium
9461,C,ae,Engineer,6,high
9462,B,ac,Project Management,35,low
9463,B,ac,Maintenance,16,medium
9464,B,ab,Maintenance,46,low
9465,C,ad,Project Management,32,medium
9466,B,aa,Project Management,40,low
9467,C,ab,Engineer,32,medium
9468,C,ad,Engineer,16,high
9469,B,ad,Project Management,23,medium
9470,B,ac,Project Management,19,medium
9471,C,ac,Project Management,18,medium
9472,A,ac,Project Management,32,low
9473,B,ad,Engineer,24,medium
9474,D,ad,Project Management,22,high
9475,B,ab,Project Management,32,medium
9476,B,ab,Project Management,21,medium
9477,D,ae,Engineer,15,high
9478,C,ad,Engineer,5,high
9479,A,ac,Maintenance,51,low
9480,C,ad,Maintenance,24,medium
9481,C,ac,Engineer,22,medium
9482,D,ae,Engineer,19,high
9483,B,ab,Maintenance,36,low
9484,A,aa,Project Management,29,low
9485,D,ae,Engineer,7,high
9486,D,ad,Project Management,8,high
9487,C,ac,Project Management,22,medium
9488,A,ac,Project Management,39,low
9489,D,ae,Project Management,21,high
9490,A,ab,Project Management,28,low
9491,B,ab,Project Management,34,low
9492,B,aa,Maintenance,40,low
9493,B,ab,Engineer,26,medium
9494,B,ac,Maintenance,47,low
9495,B,ab,Project Management,48,low
9496,B,ac,Maintenance,43,low
9497,B,ac,Project Management,18,medium
9498,C,ac,Project Management,9,high
9499,A,ab,Project Management,30,low
9500,C,ad,Project Management,11,high
9501,B,ad,Project Management,34,medium
9502,B,ad,Maintenance,21,medium
9503,B,ab,Project Management,21,medium
9504,A,ac,Maintenance,50,low
9505,B,ac,Project Management,50,low
9506,B,ac,Maintenance,38,low
9507,A,ac,Project Management,42,low
9508,B,ac,Project Management,40,low
9509,B,ac,Maintenance,43,low
9510,C,ab,Engineer,32,medium
9511,B,ad,Maintenance,19,medium
9512,A,aa,Maintenance,41,low
9513,D,ae,Project Management,4,high
9514,A,ac,Maintenance,51,low
9515,B,ab,Project Management,17,medium
9516,A,aa,Maintenance,40,low
9517,C,ad,Project Management,17,medium
9518,D,ac,Engineer,13,high
9519,B,ab,Project Management,21,medium
9520,D,ad,Engineer,19,high
9521,B,aa,Maintenance,47,low
9522,B,ad,Engineer,31,medium
9523,D,ad,Engineer,5,high
9524,C,ae,Project Management,14,high
9525,A,aa,Project Management,37,low
9526,B,ab,Maintenance,47,low
9527,C,ab,Maintenance,18,medium
9528,B,ad,Project Management,20,medium
9529,B,ac,Engineer,30,medium
9530,D,ae,Project Management,3,high
9531,B,ad,Project Management,27,medium
9532,C,ab,Maintenance,32,medium
9533,B,ab,Project Management,48,low
9534,D,ac,Engineer,7,high
9535,B,ab,Engineer,23,medium
9536,D,ac,Project Management,14,high
9537,B,ac,Maintenance,19,medium
9538,A,ab,Project Management,34,low
9539,D,ae,Engineer,4,high
9540,B,ad,Maintenance,23,medium
9541,B,ac,Maintenance,47,low
9542,B,ab,Project Management,33,low
9543,B,ad,Maintenance,21,medium
9544,C,ab,Project Management,34,medium
9545,C,ad,Project Management,16,medium
9546,C,ae,Project Management,17,high
9547,C,ad,Engineer,29,medium
9548,B,ac,Engineer,22,medium
9549,C,ac,Maintenance,27,medium
9550,B,aa,Project Management,29,low
9551,A,ab,Project Management,29,low
9552,C,ad,Maintenance,16,medium
9553,B,ad,Project Management,27,medium
9554,B,ab,Project Management,27,medium
9555,C,ac,Project Management,23,medium
9556,A,ac,Project Management,47,low
9557,B,ac,Maintenance,22,medium
9558,C,ad,Engineer,15,high
9559,B,ab,Project Management,42,low
9560,B,ad,Maintenance,21,medium
9561,D,ad,Project Management,9,high
9562,C,ac,Engineer,33,medium
9563,C,ac,Engineer,21,medium
9564,D,ae,Engineer,18,high
9565,C,ac,Engineer,17,medium
9566,C,ab,Maintenance,21,medium
9567,B,ac,Project Management,22,medium
9568,A,aa,Project Management,44,low
9569,B,ab,Project Management,17,medium
9570,C,ae,Engineer,6,high
9571,D,ac,Engineer,11,high
9572,A,aa,Project Management,35,low
9573,C,ab,Engineer,19,medium
9574,B,aa,Maintenance,48,low
9575,D,ad,Project Management,22,high
9576,C,ad,Project Management,18,high
9577,D,ad,Project Management,17,high
9578,C,ac,Engineer,22,high
9579,B,aa,Maintenance,28,low
9580,D,ac,Project Management,13,high
9581,C,ab,Engineer,30,medium
9582,D,ac,Project Management,12,high
9583,D,ae,Engineer,22,high
9584,D,ad,Project Management,19,high
9585,B,ab,Maintenance,41,low
9586,C,ab,Project Management,26,medium
9587,B,ac,Project Management,35,low
9588,A,ac,Maintenance,41,low
9589,C,ae,Engineer,11,high
9590,A,ab,Maintenance,29,low
9591,B,ab,Engineer,29,medium
9592,A,ac,Project Management,48,low
9593,C,ab,Project Management,17,medium
9594,D,ad,Engineer,17,high
9595,A,ac,Maintenance,36,low
9596,B,ab,Engineer,17,medium
9597,C,ac,Maintenance,26,medium
9598,B,ac,Maintenance,32,medium
9599,B,ac,Project Management,29,low
9600,C,ac,Engineer,35,medium
9601,B,ac,Engineer,27,medium
9602,C,ab,Project Management,34,medium
9603,D,ae,Engineer,4,high
9604,A,ab,Project Management,35,low
9605,C,ad,Engineer,29,medium
9606,B,ac,Maintenance,20,medium
9607,C,ac,Project Management,4,high
9608,B,ac,Project Management,31,medium
9609,C,ac,Maintenance,32,medium
9610,D,ae,Project Management,15,high
9611,C,ac,Engineer,5,high
9612,C,ab,Project Management,22,medium
9613,B,ab,Project Management,21,medium
9614,B,ab,Project Management,45,low
9615,C,ac,Engineer,18,high
9616,B,ab,Project Management,37,low
9617,B,ab,Maintenance,32,medium
9618,B,aa,Project Management,50,low
9619,D,ac,Engineer,6,high
9620,C,ac,Engineer,3,high
9621,C,ae,Project Management,8,high
9622,B,ac,Project Management,21,medium
9623,B,ad,Maintenance,19,medium
9624,C,ac,Project Management,12,high
9625,C,ae,Engineer,5,high
9626,C,ad,Engineer,11,high
9627,B,aa,Project Management,50,low
9628,C,ad,Maintenance,27,medium
9629,B,ab,Engineer,21,medium
9630,C,ae,Engineer,20,high
9631,B,ac,Maintenance,30,medium
9632,C,ad,Engineer,16,high
9633,D,ad,Project Management,9,high
9634,B,ac,Engineer,21,medium
9635,C,ad,Project Management,17,high
9636,D,ac,Project Management,11,high
9637,B,ac,Project Management,34,low
9638,C,ab,Engineer,16,medium
9639,B,ab,Project Management,42,low
9640,B,ab,Maintenance,33,low
9641,C,ac,Engineer,14,high
9642,C,ad,Engineer,17,medium
9643,B,aa,Maintenance,49,low
9644,D,ae,Project Management,22,high
9645,C,ad,Project Management,10,high
9646,A,ab,Maintenance,36,low
9647,B,ac,Maintenance,20,medium
9648,C,ad,Engineer,11,high
9649,A,aa,Maintenance,42,low
9650,C,ad,Engineer,13,high
9651,B,ab,Project Management,31,medium
9652,D,ae,Project Management,17,high
9653,A,ac,Project Management,44,low
9654,B,ab,Maintenance,52,low
9655,A,aa,Maintenance,48,low
9656,B,ac,Project Management,24,medium
9657,C,ab,Maintenance,19,medium
9658,C,ab,Project Management,29,medium
9659,B,ac,Maintenance,30,medium
9660,B,ab,Project Management,17,medium
9661,B,ab,Project Management,31,low
9662,C,ab,Maintenance,32,medium
9663,D,ae,Project Management,11,high
9664,D,ad,Engineer,8,high
9665,C,ab,Engineer,25,medium
9666,B,aa,Project Management,30,low
9667,D,ac,Project Management,7,high
9668,B,ab,Project Management,28,low
9669,B,ac,Maintenance,51,low
9670,D,ad,Engineer,17,high
9671,A,ac,Project Management,33,low
9672,B,ad,Engineer,30,medium
9673,B,ab,Maintenance,33,low
9674,A,ac,Project Management,39,low
9675,B,ab,Engineer,30,medium
9676,C,ac,Engineer,14,high
9677,C,ad,Project Management,20,medium
9678,C,ac,Project Management,21,medium
9679,B,ab,Project Management,51,low
9680,C,ad,Project Management,18,medium
9681,D,ad,Project Management,8,high
9682,C,ae,Engineer,22,high
9683,D,ad,Engineer,14,high
9684,D,ac,Project Management,15,high
9685,C,ad,Project Management,7,high
9686,A,ac,Maintenance,28,low
9687,C,ad,Project Management,20,high
9688,B,ac,Engineer,25,medium
9689,A,ab,Project Management,31,low
9690,C,ae,Engineer,15,high
9691,B,ab,Project Management,50,low
9692,A,aa,Project Management,36,low
9693,C,ab,Maintenance,22,medium
9694,A,ab,Maintenance,29,low
9695,A,aa,Maintenance,49,low
9696,A,ab,Project Management,33,low
9697,C,ae,Project Management,13,high
9698,A,aa,Project Management,39,low
9699,B,ab,Maintenance,47,low
9700,B,ab,Project Management,31,low
9701,B,ab,Project Management,36,low
9702,C,ac,Engineer,12,high
9703,C,ae,Project Management,15,high
9704,C,ad,Project Management,6,high
9705,B,ad,Engineer,20,medium
9706,D,ae,Project Management,22,high
9707,B,ad,Project Management,33,medium
9708,D,ae,Project Management,6,high
9709,D,ae,Engineer,21,high
9710,C,ae,Project Management,17,high
9711,C,ac,Maintenance,30,medium
9712,C,ab,Project Management,25,medium
9713,A,ab,Project Management,42,low
9714,B,aa,Maintenance,33,low
9715,B,ab,Project Management,40,low
9716,C,ab,Project Management,30,medium
9717,C,ac,Engineer,22,medium
9718,A,aa,Project Management,35,low
9719,C,ae,Project Management,3,high
9720,B,ab,Project Management,32,low
9721,C,ac,Engineer,17,high
9722,B,aa,Maintenance,49,low
9723,C,ad,Engineer,20,high
9724,B,ad,Engineer,26,medium
9725,C,ac,Project Management,4,high
9726,A,ac,Maintenance,28,low
9727,C,ac,Project Management,16,high
9728,C,ae,Project Management,11,high
9729,A,ac,Project Management,38,low
9730,A,ab,Project Management,33,low
9731,C,ad,Project Management,9,high
9732,D,ac,Project Management,9,high
9733,C,ac,Engineer,19,high
9734,C,ad,Project Management,4,high
9735,C,ac,Project Management,26,medium
9736,C,ac,Project Management,31,medium
9737,A,ac,Maintenance,36,low
9738,D,ad,Engineer,10,high
9739,B,ab,Maintenance,32,medium
9740,D,ad,Project Management,19,high
9741,D,ae,Project Management,8,high
9742,A,aa,Project Management,38,low
9743,A,ab,Maintenance,42,low
9744,B,ab,Project Management,19,medium
9745,C,ad,Project Management,31,medium
9746,D,ad,Engineer,9,high
9747,B,ac,Maintenance,32,medium
9748,B,aa,Maintenance,30,low
9749,A,ab,Project Management,43,low
9750,B,ad,Engineer,15,medium
9751,D,ac,Project Management,16,high
9752,B,ab,Project Management,39,low
9753,C,ad,Engineer,6,high
9754,B,ad,Maintenance,27,medium
9755,C,ad,Project Management,15,high
9756,B,ab,Engineer,18,medium
9757,C,ae,Project Management,18,high
9758,A,ac,Maintenance,50,low
9759,C,ac,Engineer,24,medium
9760,B,ad,Maintenance,31,medium
9761,C,ae,Engineer,19,high
9762,C,ad,Project Management,31,medium
9763,C,ac,Engineer,17,high
9764,A,ac,Project Management,34,low
9765,B,ad,Maintenance,25,medium
9766,A,aa,Maintenance,42,low
9767,B,aa,Maintenance,32,low
9768,C,ac,Engineer,28,medium
9769,C,ae,Engineer,19,high
9770,A,aa,Project Management,35,low
9771,B,ab,Maintenance,47,low
9772,A,ab,Maintenance,29,low
9773,C,ae,Engineer,21,high
9774,C,ad,Engineer,17,high
9775,B,ab,Maintenance,33,low
9776,D,ad,Project Management,15,high
9777,A,ac,Maintenance,49,low
9778,D,ae,Project Management,16,high
9779,D,ac,Project Management,9,high
9780,B,ac,Project Management,28,low
9781,C,ab,Maintenance,19,medium
9782,C,ac,Project Management,20,medium
9783,C,ad,Project Management,6,high
9784,C,ac,Engineer,18,high
9785,B,ab,Engineer,20,medium
9786,C,ac,Maintenance,16,medium
9787,B,ac,Engineer,27,medium
9788,A,aa,Project Management,43,low
9789,C,ac,Engineer,20,high
9790,B,aa,Maintenance,44,low
9791,D,ac,Engineer,14,high
9792,C,ad,Project Management,27,medium
9793,A,aa,Maintenance,52,low
9794,A,aa,Maintenance,39,low
9795,C,ab,Maintenance,18,medium
9796,B,aa,Project Management,47,low
9797,B,aa,Maintenance,31,low
9798,D,ae,Project Management,19,high
9799,C,ad,Engineer,12,high
9800,A,ab,Project Management,32,low
9801,B,ac,Project Management,30,low
9802,D,ac,Project Management,22,high
9803,D,ae,Project Management,5,high
9804,B,ac,Maintenance,34,medium
9805,B,ac,Maintenance,43,low
9806,D,ae,Project Management,17,high
9807,D,ad,Project Management,15,high
9808,A,ab,Maintenance,41,low
9809,C,ac,Project Management,29,medium
9810,C,ad,Maintenance,18,medium
9811,D,ad,Project Management,10,high
9812,B,ac,Maintenance,26,medium
9813,B,ac,Maintenance,50,low
9814,A,ab,Maintenance,38,low
9815,C,ad,Maintenance,32,medium
9816,B,ad,Engineer,16,medium
9817,C,ac,Engineer,35,medium
9818,A,aa,Maintenance,31,low
9819,B,ad,Engineer,26,medium
9820,A,ab,Project Management,38,low
9821,D,ac,Engineer,16,high
9822,C,ac,Project Management,16,medium
9823,C,ac,Engineer,5,high
9824,B,ac,Maintenance,32,medium
9825,B,ab,Maintenance,32,low
9826,A,ac,Project Management,46,low
9827,C,ac,Project Management,33,medium
9828,B,ad,Maintenance,29,medium
9829,D,ae,Engineer,10,high
9830,C,ad,Project Management,15,medium
9831,D,ac,Project Management,14,high
9832,D,ad,Project Management,17,high
9833,B,ad,Engineer,24,medium
9834,C,ae,Engineer,6,high
9835,C,ac,Engineer,16,high
9836,D,ae,Engineer,15,high
9837,D,ad,Project Management,11,high
9838,C,ad,Project Management,6,high
9839,C,ab,Project Management,16,medium
9840,C,ac,Engineer,34,medium
9841,D,ae,Project Management,18,high
9842,A,aa,Project Management,35,low
9843,C,ad,Project Management,18,high
9844,B,ac,Project Management,24,medium
9845,A,ab,Maintenance,48,low
9846,C,ac,Engineer,13,high
9847,D,ac,Engineer,13,high
9848,C,ad,Engineer,35,medium
9849,B,aa,Project Management,37,low
9850,A,aa,Project Management,45,low
9851,A,ac,Maintenance,48,low
9852,D,ac,Project Management,20,high
9853,A,ac,Project Management,31,low
9854,A,ac,Project Management,30,low
9855,C,ac,Engineer,11,high
9856,B,aa,Project Management,32,low
9857,D,ac,Engineer,7,high
9858,B,ab,Project Management,22,medium
9859,C,ac,Project Management,18,high
9860,D,ae,Project Management,14,high
9861,C,ad,Project Management,4,high
9862,D,ae,Project Management,17,high
9863,B,ad,Engineer,15,medium
9864,B,ad,Maintenance,17,medium
9865,C,ad,Project Management,24,medium
9866,B,ac,Project Management,31,medium
9867,C,ae,Engineer,7,high
9868,A,aa,Project Management,44,low
9869,C,ac,Project Management,20,high
9870,C,ad,Project Management,22,medium
9871,B,ac,Project Management,39,low
9872,D,ac,Engineer,19,high
9873,D,ac,Engineer,18,high
9874,B,ab,Project Management,29,low
9875,B,aa,Maintenance,51,low
9876,B,ac,Project Management,35,medium
9877,B,ab,Project Management,18,medium
9878,B,ab,Project Management,33,medium
9879,B,ac,Maintenance,32,medium
9880,C,ad,Engineer,9,high
9881,B,ad,Maintenance,26,medium
9882,C,ab,Maintenance,20,medium
9883,C,ac,Maintenance,31,medium
9884,C,ac,Project Management,24,medium
9885,D,ac,Engineer,15,high
9886,D,ae,Engineer,4,high
9887,A,ab,Maintenance,44,low
9888,B,ab,Maintenance,50,low
9889,C,ab,Maintenance,22,medium
9890,B,aa,Maintenance,45,low
9891,B,ac,Maintenance,28,medium
9892,D,ad,Engineer,7,high
9893,B,ab,Maintenance,46,low
9894,B,ac,Maintenance,50,low
9895,B,ab,Engineer,29,medium
9896,D,ad,Project Management,16,high
9897,B,ac,Maintenance,35,medium
9898,B,ad,Maintenance,23,medium
9899,A,ab,Project Management,38,low
9900,D,ae,Project Management,16,high
9901,B,ab,Maintenance,28,medium
9902,B,ac,Project Management,23,medium
9903,B,ab,Maintenance,34,medium
9904,D,ae,Project Management,18,high
9905,C,ab,Engineer,25,medium
9906,B,ab,Project Management,27,medium
9907,A,aa,Maintenance,40,low
9908,D,ae,Engineer,14,high
9909,D,ad,Project Management,3,high
9910,C,ac,Engineer,23,medium
9911,C,ae,Project Management,22,high
9912,A,aa,Maintenance,46,low
9913,D,ae,Project Management,13,high
9914,B,ab,Maintenance,42,low
9915,D,ad,Engineer,8,high
9916,C,ad,Project Management,28,medium
9917,C,ad,Maintenance,35,medium
9918,D,ac,Engineer,6,high
9919,C,ac,Project Management,24,medium
9920,B,aa,Maintenance,31,low
9921,A,ac,Maintenance,34,low
9922,A,ab,Project Management,42,low
9923,A,aa,Project Management,46,low
9924,C,ac,Engineer,7,high
9925,B,ad,Engineer,24,medium
9926,B,ac,Maintenance,28,medium
9927,C,ac,Engineer,13,high
9928,C,ac,Project Management,21,high
9929,A,ab,Project Management,28,low
9930,C,ac,Maintenance,27,medium
9931,B,aa,Project Management,35,low
9932,C,ae,Engineer,15,high
9933,B,ab,Maintenance,50,low
9934,C,ad,Maintenance,16,medium
9935,B,ab,Engineer,25,medium
9936,B,ac,Maintenance,28,low
9937,B,ab,Maintenance,32,low
9938,B,ab,Project Management,30,medium
9939,C,ac,Engineer,14,high
9940,A,ab,Maintenance,45,low
9941,C,ab,Project Management,16,medium
9942,B,ab,Maintenance,34,medium
9943,A,ac,Project Management,47,low
9944,C,ac,Project Management,22,high
9945,C,ac,Engineer,19,high
9946,C,ae,Engineer,7,high
9947,B,ab,Maintenance,29,medium
9948,A,ac,Maintenance,31,low
9949,A,aa,Maintenance,36,low
9950,C,ab,Engineer,15,medium
9951,D,ad,Project Management,8,high
9952,B,ac,Engineer,33,medium
9953,B,ab,Project Management,30,medium
9954,D,ac,Engineer,15,high
9955,B,ad,Engineer,28,medium
9956,D,ac,Project Management,13,high
9957,C,ad,Engineer,21,medium
9958,B,ab,Project Management,19,medium
9959,C,ad,Engineer,10,high
9960,B,ab,Maintenance,47,low
9961,B,ad,Engineer,28,medium
